date,namespace,contract_address,daily_incoming_txs,daily_active_users,daily_gas_used,daily_gas_cost_sei,daily_rank_within_namespace
2025-02-01 00:00:00.000 UTC,nucleus,0x6035832f65b0cf20064681505b73a6de307a04cb,1,1,54005,0.00010801,2
2025-02-01 00:00:00.000 UTC,nucleus,0x24152894decc7384b05e8907d6adadd82c176499,1,1,51205,0.000102853829117655,3
2025-02-01 00:00:00.000 UTC,oku,0xdd489c75be1039ec7d843a6ac2fd658350b067cf,9568,6,1349989484,4.810020263138474,1
2025-02-01 00:00:00.000 UTC,oku,0xa683c66045ad16abb1bce5ad46a64d95f9a25785,85,23,20813596,0.0253188078404928,2
2025-02-01 00:00:00.000 UTC,openocean_v2,0x6352a56caadc4f1e25cd6c75970fa768a3304e64,39,20,28881723,0.051115316110266235,1
2025-02-01 00:00:00.000 UTC,orderly,0x816f722424b49cf1275cc86da9840fbd5a6167e9,1,1,357737,0.0005008318,1
2025-02-01 00:00:00.000 UTC,pyth,0x2880ab155794e7179c9ee2e38200202908c17b43,19,1,6103509,0.006773961497433456,1
2025-02-01 00:00:00.000 UTC,pyth,0x98046bd286715d3b0bc227dd7a956b83d8978603,2,1,169628,0.0001865908,2
2025-02-01 00:00:00.000 UTC,quizmatch,0xd844298d9d42d652e263e2b4c750e5578d8b1e7a,11084,2464,477258786,0.5319951342582528,1
2025-02-01 00:00:00.000 UTC,reservoir,0x224ecb4eae96d31372d1090c3b0233c8310dbbab,268,55,90266099,0.1697491193792894,1
2025-02-01 00:00:00.000 UTC,seaport,0x0000000000000068f116a894984e2db1123eb395,81,37,21592501,0.03699343544674305,1
2025-02-01 00:00:00.000 UTC,seaport,0x864baa13e01d8f9e26549dc91b458cd15e34eb7c,3,1,627405,0.0006901455,2
2025-02-01 00:00:00.000 UTC,seaport,0x00b19a5200a100e5fc4c9800772f4d002f218400,2,1,507174,0.0005578914,3
2025-02-01 00:00:00.000 UTC,seipex,0xe70aaa288f801b208074171be87b804178ce5d11,2,2,166824,0.00018437120304391,1
2025-02-01 00:00:00.000 UTC,steer protocol,0xb944789b5c962f1096ce8674456e68fb0f2e3bb7,13,3,2610628,0.002872278449376029,1
